scraper	article	precision	recall	f1_score
boilernet	APNews_0.html.gz	0.16666666666666666	0.08333333333333333	0.1111111111111111
boilernet	APNews_1.html.gz	0.5714285714285714	0.3333333333333333	0.4210526315789474
boilernet	APNews_2.html.gz	0.2647058823529412	0.8181818181818182	0.39999999999999997
boilernet	APNews_3.html.gz		0.0	
boilernet	APNews_4.html.gz	0.42105263157894735	0.6666666666666666	0.5161290322580646
boilernet	CNBC_0.html.gz	1.0	0.75	0.8571428571428571
boilernet	CNBC_1.html.gz	0.2903225806451613	0.6	0.3913043478260869
boilernet	CNBC_2.html.gz	0.5555555555555556	0.5882352941176471	0.5714285714285715
boilernet	CNBC_3.html.gz	0.06451612903225806	0.18181818181818182	0.09523809523809523
boilernet	CNBC_4.html.gz	0.01282051282051282	0.5	0.025
boilernet	FoxNews_0.html.gz	0.5789473684210527	0.88	0.6984126984126985
boilernet	FoxNews_1.html.gz	0.5652173913043478	0.896551724137931	0.6933333333333332
boilernet	FoxNews_2.html.gz	0.2222222222222222	0.5454545454545454	0.3157894736842105
boilernet	FoxNews_3.html.gz	0.36363636363636365	0.6153846153846154	0.4571428571428572
boilernet	FoxNews_4.html.gz	0.28	0.7	0.4
boilernet	FreeBeacon_0.html.gz	0.07142857142857142	0.3076923076923077	0.11594202898550726
boilernet	FreeBeacon_1.html.gz	0.16666666666666666	0.8	0.27586206896551724
boilernet	FreeBeacon_2.html.gz	0.11538461538461539	0.42857142857142855	0.18181818181818182
boilernet	FreeBeacon_3.html.gz	0.1111111111111111	0.5	0.1818181818181818
boilernet	FreeBeacon_4.html.gz	0.18421052631578946	0.4666666666666667	0.26415094339622636
boilernet	LATimes_0.html.gz	0.7564102564102564	0.8805970149253731	0.8137931034482757
boilernet	LATimes_1.html.gz	0.375	0.8372093023255814	0.5179856115107913
boilernet	LATimes_2.html.gz	0.5645161290322581	0.875	0.6862745098039217
boilernet	LATimes_3.html.gz	0.4935064935064935	0.9047619047619048	0.6386554621848739
