scraper	article	precision	recall	f1_score
boilernet	APNews_0.html.gz	0.8571428571428571	0.38961038961038963	0.5357142857142857
boilernet	APNews_1.html.gz	0.7431192660550459	0.2555205047318612	0.3802816901408451
boilernet	APNews_2.html.gz	0.5865384615384616	0.9748858447488584	0.7324185248713551
boilernet	APNews_3.html.gz	1.0	0.4367816091954023	0.608
boilernet	APNews_4.html.gz	0.9616252821670429	0.8838174273858921	0.9210810810810811
boilernet	CNBC_0.html.gz	1.0	0.7566844919786097	0.8614916286149162
boilernet	CNBC_1.html.gz	0.9619377162629758	0.826151560178306	0.888888888888889
boilernet	CNBC_2.html.gz	0.9986072423398329	0.8485207100591716	0.9174664107485605
boilernet	CNBC_3.html.gz	0.9911894273127754	0.6258692628650904	0.7672634271099745
boilernet	CNBC_4.html.gz	0.29389312977099236	0.8415300546448088	0.43564356435643564
boilernet	FoxNews_0.html.gz	0.9230769230769231	0.993766696349065	0.9571183533447685
boilernet	FoxNews_1.html.gz	0.8571428571428571	0.9939024390243902	0.9204705882352942
boilernet	FoxNews_2.html.gz	0.8349705304518664	0.9465478841870824	0.8872651356993738
boilernet	FoxNews_3.html.gz	0.78125	0.873015873015873	0.8245877061469266
boilernet	FoxNews_4.html.gz	0.7191413237924866	0.9877149877149877	0.8322981366459629
boilernet	FreeBeacon_0.html.gz	0.8741610738255033	1.0	0.9328558639212174
boilernet	FreeBeacon_1.html.gz	0.8972809667673716	1.0	0.945859872611465
boilernet	FreeBeacon_2.html.gz	0.8901515151515151	1.0	0.9418837675350701
boilernet	FreeBeacon_3.html.gz	0.8977272727272727	1.0	0.9461077844311377
boilernet	FreeBeacon_4.html.gz	0.9575471698113207	1.0	0.9783132530120482
boilernet	LATimes_0.html.gz	0.9875518672199171	0.9927007299270073	0.9901196047841914
boilernet	LATimes_1.html.gz	0.8242394978271367	1.0	0.903652726310217
boilernet	LATimes_2.html.gz	0.9292929292929293	1.0	0.9633507853403142
boilernet	LATimes_3.html.gz	0.9016241299303944	0.9994855967078189	0.9480361063674067
boilernet	LATimes_4.html.gz	0.846875	1.0	0.9170896785109983
boilernet	OccupyDemocrats_0.html.gz	0.8811881188118812	1.0	0.9368421052631579
boilernet	OccupyDemocrats_1.html.gz	0.664572864321608	0.9943609022556391	0.7966867469879517
boilernet	OccupyDemocrats_2.html.gz	0.9334098737083811	1.0	0.9655581947743468
boilernet	OccupyDemocrats_3.html.gz	0.8090452261306532	0.9640718562874252	0.8797814207650273
boilernet	OccupyDemocrats_4.html.gz	0.896328293736501	1.0	0.9453302961275627
boilernet	Reuters_0.html.gz	1.0	1.0	1.0
boilernet	Reuters_1.html.gz	0.9751552795031055	0.9905362776025236	0.9827856025039122
boilernet	Reuters_2.html.gz	0.0	0.0	0.0
boilernet	Reuters_3.html.gz	0.9636363636363636	0.3192771084337349	0.47963800904977366
boilernet	Reuters_4.html.gz	0.9149253731343283	0.685682326621924	0.7838874680306906
boilernet	TheGatewayPundit_0.html.gz	1.0	1.0	1.0
boilernet	TheGatewayPundit_1.html.gz	0.8318385650224215	0.9661458333333334	0.8939759036144578
boilernet	TheGatewayPundit_2.html.gz	1.0	0.9695121951219512	0.9845201238390092
boilernet	TheGatewayPundit_3.html.gz	0.9433962264150944	0.5882352941176471	0.7246376811594204
boilernet	TheGatewayPundit_4.html.gz	0.9464668094218416	1.0	0.9724972497249725
boilernet	TheGuardian_0.html.gz	0.9809123261080557	0.9983536384590056	0.9895561357702352
boilernet	TheGuardian_1.html.gz	0.9745916515426497	0.9504424778761061	0.9623655913978494
boilernet	TheGuardian_2.html.gz	0.9811320754716981	1.0	0.9904761904761905
boilernet	TheGuardian_3.html.gz	0.9459053343350864	0.9992063492063492	0.9718255499807024
boilernet	TheGuardian_4.html.gz	0.9087301587301587	0.9956521739130435	0.950207468879668
boilernet	TheIndependent_0.html.gz	0.7982062780269058	0.9925650557620818	0.8848384424192213
boilernet	TheIndependent_1.html.gz	0.17214912280701755	0.9936708860759493	0.29345794392523367
boilernet	TheIndependent_2.html.gz	0.9656652360515021	0.9533898305084746	0.9594882729211086
boilernet	TheIndependent_3.html.gz	0.8373071528751753	0.995	0.9093678598629094
boilernet	TheIndependent_4.html.gz	0.3167420814479638	0.9292035398230089	0.47244094488188965
boilernet	TheIntercept_0.html.gz	0.8895451860602481	1.0	0.9415442325726789
boilernet	TheIntercept_1.html.gz	0.7022780832678712	1.0	0.8251038301799724
boilernet	TheIntercept_2.html.gz	0.8223404255319149	1.0	0.9025102159953299
boilernet	TheIntercept_3.html.gz	0.4199395770392749	0.9788732394366197	0.587737843551797
boilernet	TheIntercept_4.html.gz	0.8726664091669886	0.9926772114821324	0.9288112367249058
boilernet	TheNation_0.html.gz	0.8349514563106796	1.0	0.91005291005291
boilernet	TheNation_1.html.gz	0.870154427986133	1.0	0.9305695989214694
boilernet	TheNation_2.html.gz	0.8671128107074569	1.0	0.9288274449564773
boilernet	TheNation_3.html.gz	0.8380376344086021	1.0	0.9118829981718465
boilernet	TheNation_4.html.gz	0.9479956663055255	1.0	0.9733036707452725
boilernet	TheNewYorker_0.html.gz	0.9688922610015175	1.0	0.9842003853564547
boilernet	TheNewYorker_1.html.gz	0.9883662954960944	1.0	0.9941491140086929
boilernet	TheNewYorker_2.html.gz	0.9782857142857143	1.0	0.9890236857307915
boilernet	TheNewYorker_3.html.gz	0.9828544949026877	1.0	0.9913531198878243
boilernet	TheNewYorker_4.html.gz	0.9926289926289926	0.9972846210812145	0.9949513606698682
boilernet	TheTelegraph_0.html.gz	0.9678456591639871	0.75	0.8451099672437998
boilernet	TheTelegraph_1.html.gz	0.909849157054126	0.9454176654988014	0.9272924579489961
boilernet	TheTelegraph_2.html.gz	0.9955555555555555	0.6473988439306358	0.7845884413309983
boilernet	TheTelegraph_3.html.gz	0.9279069767441861	0.9671424723942903	0.9471185546617433
boilernet	TheTelegraph_4.html.gz	0.9530864197530864	1.0	0.9759797724399494
boilernet	WashingtonTimes_0.html.gz	0.8044871794871795	1.0	0.891651865008881
boilernet	WashingtonTimes_1.html.gz	0.783625730994152	1.0	0.8786885245901639
boilernet	WashingtonTimes_2.html.gz	0.7979094076655052	1.0	0.8875968992248062
boilernet	WashingtonTimes_3.html.gz	0.8208269525267994	1.0	0.9015979814970563
boilernet	WashingtonTimes_4.html.gz	0.8596491228070176	1.0	0.9245283018867925
boilernet	iNews_0.html.gz	0.9832775919732442	1.0	0.9915682967959528
boilernet	iNews_1.html.gz	0.9485111662531017	1.0	0.9735752944921999
boilernet	iNews_2.html.gz	0.9738292011019284	0.88375	0.926605504587156
boilernet	iNews_3.html.gz	0.9441833137485312	1.0	0.9712904200664854
boilernet	iNews_4.html.gz	0.9647283126787417	0.8916299559471366	0.9267399267399268
boilerpipe	APNews_0.html.gz	0.8003273322422259	1.0	0.889090909090909
boilerpipe	APNews_1.html.gz	0.7637614678899083	1.0	0.8660598179453837
boilerpipe	APNews_2.html.gz	0.5180442374854481	1.0	0.6825153374233128
boilerpipe	APNews_3.html.gz	0.6280487804878049	1.0	0.7715355805243447
boilerpipe	APNews_4.html.gz	0.7933130699088146	1.0	0.8847457627118643
boilerpipe	CNBC_0.html.gz	0.9440715883668904	1.0	0.9712313003452244
boilerpipe	CNBC_1.html.gz	0.880722891566265	1.0	0.9365791159513133
boilerpipe	CNBC_2.html.gz	0.9737991266375546	1.0	0.9867256637168141
